year,month,payload_mass,core_reused,latitude,longitude,stages,cost_per_launch,has_capsule,has_crew,success_rate,locality_Omelek Island,locality_Vandenberg Space Force Base,region_Florida,region_Marshall Islands,country_United States,success
2017,12,2205.0,1,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,True
2017,12,9600.0,1,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2018,1,0.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2018,1,4230.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2018,2,1350.0,0,28.6080585,-80.6039558,2,90000000,0,0,1.0,False,False,True,False,True,True
2018,2,2150.0,1,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2018,3,6092.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2018,3,9600.0,1,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2018,4,2760.0,1,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,True
2018,4,350.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2018,5,3750.0,0,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2018,5,5460.0,1,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2018,6,5383.85,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2018,6,2410.0,1,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,True
2018,7,7076.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2018,7,9600.0,0,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2018,8,5800.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2018,9,7060.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2018,10,2800.0,1,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2018,11,3000.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2018,12,4000.0,1,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2018,12,2573.0,0,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,True
2018,12,4400.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2019,1,9600.0,1,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2019,2,5645.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2019,3,12259.0,0,28.6080585,-80.6039558,2,50000000,1,0,1.0,False,False,True,False,True,True
2019,4,6000.0,0,28.6080585,-80.6039558,2,90000000,0,0,1.0,False,False,True,False,True,True
2019,5,2482.0,0,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,True
2019,5,13200.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2019,6,1425.0,1,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2019,6,2838.0,0,28.6080585,-80.6039558,2,90000000,0,0,1.0,False,False,True,False,True,True
2019,7,2227.7,1,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,True
2019,8,6500.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2019,11,15600.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2019,12,5000.0,0,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,True
2019,12,6800.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2020,1,15600.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2020,1,0.0,1,28.6080585,-80.6039558,2,50000000,1,0,1.0,False,False,True,False,True,True
2020,1,15600.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2020,2,15600.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2020,3,1977.0,1,28.5618571,-80.577366,2,50000000,1,0,0.9797979797979798,False,False,True,False,True,True
2020,3,15600.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2020,4,15600.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2020,5,9525.0,0,28.6080585,-80.6039558,2,50000000,1,1,1.0,False,False,True,False,True,True
2020,6,15600.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2020,6,15600.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2020,6,3880.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2020,7,0.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2020,8,15712.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2020,8,15600.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2020,8,1600.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2020,9,15600.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2020,10,15600.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2020,10,15600.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2020,10,15600.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2020,11,3681.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2020,11,0.0,0,28.6080585,-80.6039558,2,50000000,1,1,1.0,False,False,True,False,True,True
2020,11,1440.0,0,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2020,11,15600.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2020,12,2972.0,1,28.6080585,-80.6039558,2,50000000,1,0,1.0,False,False,True,False,True,True
2020,12,7000.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
